id,question,A,B,C,D,answer
2806,একটি সাধারণ দোলকের দৈর্ঘ্য 50% বৃদ্ধি করলে এর কার্যকরী দৈর্ঘ্য কত গুণ বৃদ্ধি পাবে?,1.25,1.5,2,2.5,B
2807,একটি সাধারণ দোলকের বিস্তার শূন্য করলে এর দোলনকাল কত হবে?,শূন্য হবে,অপরিবর্তিত থাকবে,অর্ধেক হবে,চতুর্গুণ হবে,B
2808,একটি সাধারণ দোলক 2 মিনিটে 60 বার দোলন করে। দোলনকালের মান (m) কত?,0.993,0.963,0.925,0.989,A
2809,নির্দিষ্ট দৈর্ঘ্যের একটি সাধারণ দোলকের ভারের 3 গুণ বাড়ালে পরিধিকাল কত হবে?,3 গুণ কমবে,3 গুণ বাড়বে,9 গুণ বাড়বে,অপরিবর্তিত থাকবে,D
2810,সাধারণ ছন্দিত দোলনের গতির গাণিতিক মান সম্পর্কে কোনটি সঠিক?,বেগ সর্বাধিক, সরণ সর্বাধিক,বেগ সর্বনিম্ন, সরণ সর্বনিম্ন,B
2811,কম্পাঙ্ক (f) ও পরিধিকালের (T) সম্পর্ক কোনটি?,f = 1/T,f = T,T = 2f,f = 2T,A
2812,একটি সাধারণ দোলকের দৈর্ঘ্য কত?,L = g/π²,L = g²/π²,L = π²/g,L = π²g,A
2813,মহাকাশে একটি সেকেন্ড দোলকের এর কম্পাঙ্ক কত হবে?,1 Hz,0 Hz,2 Hz,Infinite,B
2814,পৃথিবীতে একটি সেকেন্ড দোলকের কার্যকর দৈর্ঘ্য কত হবে?,0.248 m,9.81 m,0.252 m,0.994 m,D
2815,30 cm ব্যাসের একটি গোলাকার সাবান বুদবুদের অভ্যন্তরীণ অতিরিক্ত চাপ কত?,6.67 Nm⁻²,6.67 Nm⁻¹,6.80 Nm²,6.9 Nm⁻²,D
2816,সাবান পানির পৃষ্ঠটান 3×10⁻² Nm⁻¹। একটি সাবান পানির বুদবুদের বাইরের ও ভেতরের চাপের পার্থক্য 4 Nm⁻² হলে বুদবুদের ব্যাস কত হবে?,3×10⁻² m,2×10⁻² m,6×10⁻² m,কোনোটিই নয়,C
2817,একটি সাবান বুদবুদের ব্যাস 0.7 cm এবং ভেতরের বায়ুচাপ সাধারণ বায়ুমণ্ডলীয় চাপের চেয়ে 8 mm পারদ চাপ বেশি। সাবান দ্রবণের পৃষ্ঠটান কত?,56.68 dyne/cm,66.68 dyne/cm,68.66 dyne/cm,78.66 dyne/cm,D
2818,পাতলা বৃষ্টির ফোঁটা পৃথিবীতে বেগ লাভ করে-,বায়ু উৎক্ষেপণের জন্য,বায়ুর সান্দ্রতার জন্য,বায়ুর পৃষ্ঠটানের জন্য,বায়ুমণ্ডল চাপের জন্য,B
2819,কোন পদার্থের সান্দ্রতা সর্বাধিক?,দুধ,পানি,তেল,মধু,D
2820,কোনটির সান্দ্রতা সর্বাধিক?,পানি,কেরোসিন,বাতাস,গ্লিসারিন,D
2821,সবচেয়ে শক্ত পদার্থ কোনটি?,লোহা,তামা,কেরাটিন,কোয়ার্টজ,D
2822,একটি দণ্ডের ইয়ং এর গুণাঙ্ক 4×10¹¹ N/m²। দৈর্ঘ্য 7.5% বাড়ালে প্রয়োগিত চাপ কত হবে?,7.5×10¹¹ N/m²,3×10¹⁰ N/m²,5.33×10¹⁰ N/m²,4×10¹⁰ N/m²,B
2823,1 mm² ক্ষেত্রফল বিশিষ্ট একটি দণ্ডে 10% প্রসারণ ঘটাতে কত বল প্রয়োগ করতে হবে?,2×10⁴ N,6×10⁴ N,8×10⁴ N,12×10⁴ N,A
2824,10⁸ Nm⁻² গুণাঙ্ক বিশিষ্ট 1 m দীর্ঘ দণ্ডে 3% প্রসারণ হলে প্রয়োগিত চাপ কত হবে?,10⁵ Nm⁻²,10¹¹ Nm⁻²,10⁵ Nm²,10¹¹ Nm²,D
2825,3 m দৈর্ঘ্য এবং 1 cm² ক্ষেত্রফল বিশিষ্ট দণ্ডের ইয়ং এর গুণাঙ্ক কত dyne/cm² হবে?,2.5×10¹⁰,5×10¹⁰,10¹¹,কোনোটিই নয়,B
2826,ইয়ং এর গুণাঙ্কের মাত্রা কোনটি?,MLT⁻²,ML⁻¹T⁻¹,ML⁻²T⁻²,ML⁻¹T⁻²,C
2827,একটি দণ্ডের ক্ষেত্রফল 1×10⁻⁴ m²। দণ্ডের দৈর্ঘ্য 2×10⁶ N বল প্রয়োগ করলে ইয়ং এর গুণাঙ্ক কত হবে?,3×10¹¹ Nm⁻²,2.5×10¹¹ Nm⁻²,2×10¹¹ Nm⁻²,কোনোটিই নয়,C
2828,পৃথিবীর পৃষ্ঠে মুক্তিপাত চন্দ্র পৃষ্ঠে মুক্তিপাতের চেয়ে কেমন?,অধিক,কম,সমান,পরিবর্তিত,A
2829,কোন অক্ষাংশে g এর মান সর্বাধিক?,0°,45°,90°,180°,C
2830,মহাকর্ষীয় ধ্রুবক G এর S.I. একক কী?,Nm²kg⁻²,m³kg⁻¹s⁻²,m⁻³kg s²,Nm²kg⁻¹,B
2831,মহাকর্ষীয় বিভব শক্তি E এর রাশিমালা কোনটি?,E = M/r,E = M/r²,E = M/r³,E = Mm²/r,B
2832,বস্তুর অক্ষরেখা হতে কম্পাঙ্ক বৃদ্ধি পেলে পৃথিবীর আকর্ষণ বলের মান কী হবে?,কমে,বাড়ে,একই থাকে,45° এ সর্বাধিক,B
2833,পৃথিবীর প্রেক্ষিতে সূর্যের আকর্ষণ বল বেশি না চাঁদের আকর্ষণ বল?,সূর্যের আকর্ষণ বেশি,চাঁদের আকর্ষণ বেশি,একই থাকবে,এলিপস পরিবর্তিত হবে,A
2834,পৃথিবীর পৃষ্ঠের উপর কোনো বায়ুমণ্ডল না থাকলে একটি দোলকের পরিধিকাল কেমন হবে?,হ্রাস পাবে,বৃদ্ধি পাবে,একই থাকবে,অবহেলাযোগ্য হবে,A
2835,একটি কৃত্রিম উপগ্রহ পৃথিবীর ব্যাসার্ধের দ্বিগুণ উচ্চতায় ঘুরে। এর বেগ কত হবে?,√gR,2√gR,√gR/3,√gR/5,C
2836,কক্ষপথ বিভাজন কোনটি?,বিমানের চলাচল,গোলাকার কক্ষপথ,বৃত্তাকার কক্ষপথ,পৃথিবীর কক্ষপথ,B
2837,BTRC স্যাটেলাইট পৃথিবীর উচ্চতা 36000 km হলে তার সময়কাল কত?,24.02 h,22.08 h,23.02 h,25.08 h,A
2838,একটি উপগ্রহের ব্যবহারের জন্য কোন শক্তি দরকার?,সামান্য শক্তি,পৃথিবীর আকর্ষণ শক্তি,বৃহৎ শক্তি,আবশ্যক শক্তি,B
2839,একটি কৃত্রিম উপগ্রহ পৃথিবীর ব্যাসার্ধ অর্ধেক উচ্চতায় ঘুরে। এর বেগ কত হবে?,√2gR,√3gR,√3gR/2,√2gR/3,B
2840,পৃথিবীর পৃষ্ঠে মুক্তিবেগ কত?,11.2 ms⁻¹,11.2 kms⁻¹,9.8 kms⁻¹,10 kms⁻¹,B
2841,মঙ্গলে মুক্তিবেগ কত?,11.2,10.3,4.77,3.5,C
2842,কোন বস্তু মুক্তিবেগে পৌঁছে গেলে তার গতিবিধি কেমন হবে?,সমানুপাতিক,বর্ধিত সমানুপাতিক,তাদের উপর নির্ভরশীল,কোনোটিই নয়,D
2843,সর্বাধিক কত বেগে পৃথিবী হতে একটি বস্তু উৎক্ষেপ করা যায়?,√2gR,√2 gR,gR,2√gR,A
2844,m ভরের একটি বস্তু স্থিরাবস্থায় থেকে সমবেগক্রমে চলতে থাকে। t সময় পর তার বেগ v হলে T সময় পরে কৃতকর্ম কত হবে?,mVT,½ mv²/t,½ mv²T²/t²,T⁻¹ mv²T/t²,C
2845,একটি জিনিস বেগ দ্বিগুণ করা হলে এর গতিশক্তি কত গুণ বাড়ে?,0.5,2,3,4,D
2846,20 kg ভরের একটি কণা v = (4i+5j+6k) ms⁻¹ হলে এর গতিশক্তি কত হবে?,300,600,770,1440,C
2847,একটি বাইসাইকেলের চাকা একবার ঘুরলে 4 গুণ হলে কৃতকর্ম কত হবে?,দ্বিগুণ,অর্ধেক,তিনগুণ,চারগুণ,D
2848,100 kg ভরের একটি বস্তু 10 cms⁻¹ বেগে উঠলে প্রয়োজনীয় শক্তি কত watt?,0.98,10,98,9800,C
2849,60 kg ভরের লোক 30 মিনিটে 600 m উঁচুতে উঠলে তার ক্ষমতা কত?,196 W,392 W,588 W,98 W,A
2850,প্রতি ঘন্টায় 5000 gallon পানি 36 ft উপরে তুলতে প্রয়োজনীয় Horse Power কত?,0.5,1,1.5,কোনোটিই নয়,D
2851,1 Horse Power = ?,746 W,467 W,764 W,647 W,A
2852,ক্ষমতার মাত্রা কোনটি?,ML²T²,ML⁻²T⁻²,ML²T⁻³,ML⁻¹T⁻³,C
2853,746 Watt এর সমতুল্য Horse Power কত?,যান্ত্রিক,তাপগতীয়,বিদ্যুতিক,ডিজেল,B
2854,60 kg ভরের লোক 20 min এ 180 m উঁচুতে উঠলে প্রয়োজনীয় কাজ কত?,9.58×10⁴,10.58×10⁴,12.58×10⁴,15.58×10⁴,B
2855,40 N ভরের বস্তু 25 m উচ্চতায় উঠলে কাজ কত?,0 J,40 J,120 J,160 J,A
2856,কোনটি কাজের উদাহরণ?,ক্লান্তি,ক্ষুধা,বল প্রয়োগ,সবগুলো,D
2857,স্থিতিস্থাপক সংঘর্ষে v₁/v₂ এর অনুপাত কত?,m₁/m₂,−m₂/m₁,m₂/m₁,√(m₂/m₁),C
2858,200 gm ভরের বস্তু v = 2i+5j হলে এর গতিশক্তি কত?,3 J,2.9 J,3.74 J,6 J,B
2859,কৌণিক ভরের একক কী?,kg m²s⁻¹,kg ms⁻²,kg m s⁻¹,kg m² s⁻²,A
2860,30kg ভরের একটি বলের বেগ 2 মিনিটে বৃদ্ধি পেয়ে 36km/hr এ উন্নীত করার জন্য বস্তুর উপর কত বল প্রয়োগ করতে হবে?,2N,2.5N,300N,5N,B
2861,একটি বস্তুর উপর 5N বল 10s ক্রিয়া করে। ভরবেগের পরিবর্তন কত?,60 kgms⁻¹,50 kgms⁻¹,70 kgms⁻¹,80 kgms⁻¹,B
2862,ভরবেগের SI একক হলো —,kg ms⁻¹,kg ms⁻²,kg²m²s²,kg m²s²,A
2863,100 N ওজন 25 kg ভরের একটি বস্তুর উপর 5s ক্রিয়া করলে বেগের মান হবে —,20ms⁻¹,40ms⁻¹,60ms⁻¹,80ms⁻¹,A
2864,অণু সংঘর্ষ হলে আণবিক সংখ্যা কত?,10³⁰,10³⁵,10³⁹,10⁴¹,C
2865,30kg ভরের একটি বলের বেগ 5N বল প্রয়োগ করলে 1 মিনিটে এর বেগ 36km/hr বৃদ্ধি পায়। বল কত?,0.5,5,10,20,C
2866,মহাকর্ষ বলের সাথে নিউটনের আপেক্ষিক তত্ত্বের আভাস —,10³⁰,10³⁹,10⁴⁰,10⁴²,B
2867,নিচের কোনটি সংরক্ষণশীল বলের ক্ষেত্রে সত্য নয়?,শক্তির রূপান্তর ঘটে,কৃতকর্ম পথনির্ভর,শক্তির রূপ সংরক্ষণ স্থায়ী থাকে না,কোনোটিই নয়,B
2868,850 kg ভরের একটি গাড়ি সমবেগে চলমান। গাড়ির উপর ক্রিয়াশীল বলের দিক নির্ণয় করতে হলে কী করতে হবে?,নিউটনের প্রথম সূত্র,নিউটনের দ্বিতীয় সূত্র,নিউটনের তৃতীয় সূত্র,ভরবেগের নিদিষ্ট সূত্র,A
2869,রকেটের গতি সংরক্ষণের সঠিক ব্যাখ্যা হলো?,ভর,শক্তি,বৈদ্যুতিক ভরবেগ,যান্ত্রিক ভরবেগ,D
2870,মহাশূন্যে রকেটের গতি একটি — উদাহরণ।,ভরের ধারাবাহিকতা,ভরবেগ সংরক্ষণ,ভরকেন্দ্রের গতি,ভরের নিদিষ্টতা,B
2871,ভরবেগের গতি 0 হলে সূত্র F = ma অনুসারে F এর মান হবে —,0,0 নয়,পরিবর্তনশীল,কোনোটিই নয়,A
2872,250N বল 5 সেকেন্ড ক্রিয়া করলে বস্তুর ভরবেগের পরিবর্তন কত হবে?,1250 kgm/s,1250 m/s²,150 kgm/s,7500 m/s²,A
2873,মাধ্যাকর্ষণ বলের সময় কোনটি নির্দেশ করে?,সময়,বেগ,দূরত্ব,ভরবেগ,B
2874,একটি প্রক্ষেপকের সাথে 30° কোণে ছোঁড়া হলে যদি বেগ 40ms⁻¹ এবং উল্লম্ব উচ্চতা 30m হয় তবে সর্বাধিক উচ্চতা কত হবে?,13.64m,31.64m,15.64m,12.64m,A
2875,একটি প্রক্ষেপকের সাথে 30° কোণে 40ms⁻¹ বেগে ছোঁড়া হলে সর্বাধিক উচ্চতায় পৌঁছতে সময় লাগবে কত?,6s,4s,8s,2s,B
2876,কোনো প্রক্ষেপকের নির্দিষ্ট বেগে ছোঁড়া হলে নিক্ষেপ কোণ নির্ণয়ের সূত্র হলো?,অনুভূমিক পথে নির্দিষ্ট দূরত্ব,অনুভূমিক পথে উচ্চতা,অনুভূমিক পথে দূরত্ব,কোনোটিই নয়,C
2877,প্রক্ষেপক বিচলনের সমীকরণ হলো —,T=2v₀sinθ/g,T=v₀cosθ/g,T=v₀sinθ/g,T=2v₀cosθ/g,A
2878,প্রক্ষেপকের সাথে কোণে নিক্ষিপ্ত হলে কোন কোণে সর্বাধিক দূরত্ব অতিক্রম করবে?,45°,0°,90°,60°,A
2879,একটি প্রক্ষেপক 40ms⁻¹ বেগে 60° কোণে নিক্ষিপ্ত হলে সর্বাধিক উচ্চতায় পৌঁছতে সময় কত হবে?,5.33s,3.53s,3.35s,1.5s,B
2880,একটি প্রক্ষেপক v বেগে ϴ কোণে নিক্ষিপ্ত হলে সর্বাধিক উচ্চতা কত হবে?,v²sin²ϴ/2g,v²sinϴ/2g,v²sin²ϴ/g,2v/g,A
2881,একটি প্রক্ষেপক 60° কোণে 30ms⁻¹ বেগে নিক্ষিপ্ত হলে সর্বাধিক উচ্চতায় প্রক্ষেপকের বেগ কত হবে?,3 ms⁻¹,√3/2 ms⁻¹,3 ms⁻¹,0 ms⁻¹,A
2882,প্রক্ষেপকের সর্বাধিক উচ্চতার সূত্র হলো —,H=v²sinθ/2g,H=vcosθ/g,H=v²/2g,H=v²cos²θ/2g,D
2883,একটি প্রক্ষেপক 20 ms⁻¹ বেগে 30° কোণে নিক্ষিপ্ত হলে সর্বাধিক উচ্চতায় পৌঁছতে সময় কত?,30.5m,35.5m,40.34m,20.34m,B
2884,প্রক্ষেপকের পরিসর (Range) হলো —,R=v²sin2θ/g,R=v²sinθ/g,R=v²/g,R=v²sinθ/2g,A
2885,30kg ভরের একটি বস্তুর বেগ 2 মিনিটে বৃদ্ধি পেয়ে 36km/hr এ উন্নীত করার জন্য বস্তুটির উপর কত বল প্রয়োগ করতে হবে?,2N,2.5N,300N,5N,B
2886,একটি বস্তুর উপর 5N বল 10s ক্রিয়া করে। ভরের গতি পরিবর্তন কত?,60 kgms⁻¹,50 kgms⁻¹,70 kgms⁻¹,80 kgms⁻¹,B
2887,ভরের SI একক হলো —,kg ms⁻²,kg ms⁻¹,kg²m²s²,kg m²s²,B
2888,100 N ওজন ও 25 kg ভরের একটি বস্তুর বেগ 5s ক্রিয়া করলে বেগের মান কত হবে?,20 ms⁻¹,40 ms⁻¹,60 ms⁻¹,80 ms⁻¹,A
2889,অভিকর্ষ বলের আপেক্ষিক বল কত?,10³⁰,10³⁵,10³⁹,10⁴¹,C
2890,30kg ভরের একটি বস্তুর বেগ 1 মিনিটে প্রতি সেকেন্ডে 36km/hr বৃদ্ধির জন্য কত নিউটন বল প্রয়োজন?,0.5,5,10,20,B
2891,মহাকর্ষ বলের আপেক্ষিক বলের আকার কত?,10³⁰,10³⁹,10⁴⁰,10⁴²,B
2892,নিম্নের কোনটি মহাকর্ষ বলের ক্ষেত্রে সত্য নয়?,শক্তির পরিবর্তন ঘটে,কৃতকাজ শূন্য হয়,কোনো পুরষ্কার করা সম্ভব নয়,কোনোটিই নয়,B
2893,850 kg ভরের একটি গাড়ি সমবেগে গতি করছে। গাড়িটির উপর ক্রিয়াশীল নিট বল কত?,নিউটনের দ্বিতীয় সূত্র,নিউটনের প্রথম সূত্র,নিউটনের তৃতীয় সূত্র,গতি সূত্র,B
2894,রকেটের ক্রিয়াশীল বল কী?,অভিকর্ষ,শক্তি,যান্ত্রিক গতি,কোনোটিই নয়,A
2895,মহাকর্ষ রকেটের একটি — উদাহরণ।,অভিকর্ষ,অভিকর্ষের ভর,ভরের নির্জীবতা,কোনোটিই নয়,B
2896,সমবেগে গতির ক্ষেত্রে F = ma অনুসারে F = 0 হলে —,ত্বরণ,বেগ,পরিবর্ধন,কোনোটিই নয়,A
2897,250N বল 5s ক্রিয়া করলে ভরের গতি পরিবর্তন কত?,1250 kgm/s,1250 m/s²,150 kgm/s,7500 m/s²,A
2898,নিচের কোন তরঙ্গের পোলারায়ণ সম্ভব নয়?,আলোক,পানি,বেতার,শব্দ,D
2899,কেলাসের গঠন নির্ণয়ের জন্য আলোর কোন বৈশিষ্ট্য ব্যবহার হয়?,ব্যতিচার,অপবর্তন,সমবর্তন,বিট,C
2900,নিচের কোন ঘটনাটি অনন্যভাবে প্রমাণ করে যে আলোর তরঙ্গ একটি আড় তরঙ্গ?,সমবর্তন,তাপবর্তন,প্রতিসরন,ব্যতিচার,A
2901,আলোক তরঙ্গ মুখের প্রতিটি বিন্দুকে নতুন গোলীয় তরঙ্গ উৎস হিসেবে গণ্য করে থাকে একে বলে-,ব্যতিচার,অপবর্তন,সমবর্তন,কোনোটিই নয়,D
2902,আলোক তরঙ্গ তরঙ্গের সাহায্যে কোনটি ব্যাখ্যা করা যায় না?,প্রতিফলন,প্রতিসরণ,ফোটোইলেকট্রিক নির্গমন,অপবর্তন,C
2903,কোন তরঙ্গের সমবর্তন হয় না?,এক্স-রশ্মি,শব্দ তরঙ্গ,রেডিও তরঙ্গ,সাধারণ আলো,B
2904,একটি পরমাণুর শক্তি E2 থেকে কমে E1 হলে নির্গত বিকিরণ শক্তির তরঙ্গ দৈর্ঘ্য কত হবে?,hc/(E2-E1),c/(h(E2-E1)),hc/E2,hc/E1,A
2905,1 MeV = কত জুল?,2.6×10⁻³¹ J,2.6×10³¹ J,2.6×10¹³ J,1.6×10⁻¹³ J,D
2906,হাইড্রোজেনের পরমাণুর প্রথম কক্ষপথে শক্তি -13.6 eV হলে এর দ্বিতীয় কক্ষপথের শক্তি কত?, -6.8 eV,-3.4 eV,-27.2 eV,-4.7 eV,B
2907,কোন পরমাণু থেকে নিঃসৃত বিকিরণের তরঙ্গ দৈর্ঘ্য 3315×10⁻¹⁰ m হলে তাদের শক্তির পার্থক্য কত?,3.75 eV,2.75 eV,6.75 eV,কোনোটিই নয়,A
2908,একটি হাইড্রোজেনের পরমাণু দ্বিতীয় অবস্থা থেকে নিম্নতম শক্তিস্তরে আসলে নির্গত বিকিরণের তরঙ্গ দৈর্ঘ্য কত?,1.95×10⁻²⁶ m,1.21×10⁻⁷ m,1.0×10⁻⁷ m,0.15 m,B
2909,ফটোইলেকট্রিক ক্রিয়া ঘটে না নিচের কোন ধাতু থেকে?,Al,Cs,K,Na,B
2910,"একটি ধাতুর কর্মফলক 6.63 eV, তাতে ফটোইলেকট্রিক নির্গমনের সূচনা করার ন্যূনতম কম্পাঙ্ক কত?",1.6×10¹⁴ Hz,16×10¹⁴ Hz,1.6×10¹⁹ Hz,1.6×10¹³ Hz,A
2911,ফটো-ইলেকট্রিক প্রভাব আলোর কোন বৈশিষ্ট্য প্রমাণ করে?,অণু,কণা,তরঙ্গ,কোনোটিই নয়,B
2912,6650 Å তরঙ্গে ফোটোইলেকট্রিক কণার গতিশক্তি কত?,1.869 eV,1.532 eV,2.021 eV,2.50 eV,A
2913,আলোকের ফোটোইলেকট্রিক ক্রিয়ায় ব্যবহৃত সমীকরণ কোনটি?,প্লাঙ্ক ধ্রুবক সূত্র,আইনস্টাইনের সূত্র,হাইজেনবার্গ সূত্র,কোনোটিই নয়,D
2914,আলোকের ফটোইলেকট্রিক ক্রিয়া সমর্থন করে আলোর-,তরঙ্গ তত্ত্ব,অণু তত্ত্ব,কণাতত্ত্ব,তরঙ্গ-কণাতত্ত্ব,C
2915,যদি একটি ধাতুর কর্মফলক 1.35 eV হয় তবে এর সূচনা কম্পাঙ্ক কত?,3.26×10¹⁴,4.12×10¹⁵,6.3×10¹⁴,8.4×10¹⁵,A
2916,ফটো-ইলেকট্রিক প্রভাবে নির্গত ইলেকট্রনের সর্বাধিক বেগ কত হবে?,√(2eV/m),2eV/m,√(eV/m),eV/m,A
2917,অপসারণযোগ্য প্রক্রিয়ায় এন্ট্রপি পরিবর্তন হবে-,বৃদ্ধি পাবে,হ্রাস পাবে,পরিবর্তন হবে না,শূন্য হবে,C
2918,একটি কার্নো ইঞ্জিন 3400 J তাপ শোষণ করে 2400 J তাপ নির্গত করে। দক্ষতা কত?,29.41%,41.20%,36.34%,44.51%,A
2919,একটি আদর্শ গ্যাসকে চাপ অপরিবর্তিত রেখে উত্তপ্ত করলে এটি কোন প্রক্রিয়া?,সমতাপীয়,অধিবিয়োগীয়,সমআয়তন,সমচাপীয়,D
2920,দুই পারমাণবিক গ্যাসের অ্যাডিয়াবেটিক সূচক γ এর মান কত?,1.33,1.4,2.44,1.66,B
2921,একটি গ্যাসের জন্য TV^γ = ধ্রুবক কোন প্রক্রিয়ার শর্ত?,অ্যাডিয়াবেটিক,সমচাপীয়,সমআয়তন,সমতাপীয়,A
2922,একটি গ্যাসকে PV = ধ্রুবক সূত্রে সংকুচিত করলে এটি কোন প্রক্রিয়া?,সমতাপীয়,অধিবিয়োগীয়,সমআয়তন,সমচাপীয়,A
2923,একটি বাস্তব গ্যাসকে যদি PV^γ = ধ্রুবক সূত্রে সংকুচিত করা হয় তবে এটি কোন প্রক্রিয়া?,অধিবিয়োগীয়,সমতাপীয়,সমআয়তন,সমচাপীয়,A
2924,একটি গ্যাসের জন্য γ = 1.4 হলে Cp/Cv এর মান কত?,1.33,1.4,2.44,1.66,B
2925,একটি গ্যাস থার্মোমিটারে 0°C তাপমাত্রায় চাপ 10 atm হলে 100°C তে চাপ কত হবে?,12.5 atm,13.5 atm,14 atm,15 atm,C
2926,একটি গ্যাস থার্মোমিটার 27°C তাপমাত্রায় 100 cm³ আয়তন নিলে 127°C তে আয়তন কত হবে?,133 cm³,127 cm³,120 cm³,137 cm³,D
2927,একটি গ্যাসকে 27°C থেকে 227°C পর্যন্ত উত্তপ্ত করলে আয়তন দ্বিগুণ হয়। এটি কোন সূত্রের দ্বারা সম্ভব?,বয়েল,চার্লস,গে-লুসাক,আভোগাড্রো,B
2928,ফারেনহাইট স্কেলে 160° তাপমাত্রা হলে সেলসিয়াস স্কেলে কত?,320°C,273°C,71.1°C,460°F,C
2929,27°C তাপমাত্রার 20 g পানিকে 50°C তাপমাত্রার পানির সাথে মেশালে চূড়ান্ত তাপমাত্রা কত হবে?,6.21 J/kg,2.61 J/kg,0.62 J/kg,3.21 J/kg,A
2930,0°C তাপমাত্রায় পারদের ঘনত্ব কত mmHg?,760 mmHg,76 mmHg,40 mm Hg,38 mm Hg,B
2931,একটি গ্যাসের জন্য T(°C) = (9/5)T(K) - 160 হলে 160°C কত K হবে?,574.25,575.55,273,570.98,A
2932,একটি পারদের thermometer এ 1°C পরিবর্তনে 98°C এর জন্য 40°C রিডিং কত হবে?,32.3°C,36°C,40.2°C,48.4°C,C
2933,একটি কার্নো ইঞ্জিন 1470 J তাপ গ্রহণ করে এবং 1260 J তাপ নির্গত করলে দক্ষতা কত?,25.80%,26.20%,-25.80%,-26.20%,B
2934,একটি গ্যাসের জন্য অভ্যন্তরীণ শক্তির সূত্র U=3/2 nRT কোন ধরনের গ্যাসের জন্য প্রযোজ্য?,একপরমাণবিক,দ্বিপরমাণবিক,ত্রিপরমাণবিক,সবগুলোর ক্ষেত্রে,A
2935,একটি গ্যাসকে 27°C থেকে 227°C পর্যন্ত উত্তপ্ত করলে এবং আয়তন দ্বিগুণ হলে এটি কোন সূত্র দ্বারা সম্ভব?,বয়েল,চার্লস,গে-লুসাক,আভোগাড্রো,B
2936,একটি কার্নো ইঞ্জিনে শোষিত তাপ 1260 J এবং নির্গত তাপ 930 J হলে দক্ষতা কত?,25.80%,26.20%,35.80%,36.20%,A
2937,একটি আদর্শ গ্যাসে pV = RT কোন সূত্র?,অবস্থা সমীকরণ,চার্লসের সূত্র,বয়েলের সূত্র,গে-লুসাকের সূত্র,A
2938,একটি ক্যাপাসিটরের দুই প্রান্তে 2500 V ভোল্টেজ ও দূরত্ব 0.005 m হলে বৈদ্যুতিক ক্ষেত্র কত?,400 V/m,2500 V/m,50000 V/m,20000 V/m,A
2939,322K তাপমাত্রার একটি সিস্টেম থেকে 3220 J তাপ শোষণ করলে এর এন্ট্রপি পরিবর্তন কত?,5.989,4.898,3.989,2.989,A
2940,0.80 m দূরত্বে বৈদ্যুতিক ক্ষেত্র 27 V হলে চার্জের মান কত?,20 μC,27 μC,27 nC,9 nC,D
2941,একটি থার্মোমিটারের রিডিং 0°C তে 10 cm এবং 100°C তে 60 cm হলে 50°C তে রিডিং কত হবে?,30 cm,35 cm,40 cm,50 cm,B
2942,একটি বৈদ্যুতিক চার্জ q=6×10⁻¹⁹ C হলে e.s.u এককে কত?,6×10¹⁰,1.6×10⁻¹⁹,6×10⁻¹⁰,9×10⁻¹²,A
2943,একটি ক্যাপাসিটরের ধারকত্বের সূত্র C=εA/d এ কোন রাশি পরিবর্তন করলে C পরিবর্তন হবে না?,ε,A,d,সবগুলোই,D
2944,একটি ক্যাপাসিটরের দুই প্রান্তে বিভব V হলে তার সঞ্চিত শক্তি কত?,3U,6U,8U,9U,D
2945,দুটি ধারকের ধারকত্ব C হলে সমান্তরালে সংযুক্ত হলে মোট ধারকত্ব কত?,2C,0.5C,1/C,C/2,A
2946,Point Charge এর উপর বল সূত্র কী?,Vq/4πε0r,Vq/2πε0r,Vq/4πε0r²,Vq/πε0r²,A
2947,চার্জ যদি দ্বিগুণ করা হয় তবে বৈদ্যুতিক বিভব কত গুণ হবে?,2,4,8,16,B
2948,কোন তত্ত্ব অনুযায়ী ইলেকট্রন আলোর কণিকা?,তরঙ্গতত্ত্ব,কোয়ান্টাম তত্ত্ব,কণা তত্ত্ব,অপেক্ষিক তত্ত্ব,B
2949,একটি চার্জ +Q অন্য চার্জ +q কে F বল দ্বারা আকর্ষণ করে দূরত্ব দ্বিগুণ করলে বল কত হবে?,F,2F,F/2,F/4,D
2950,সমান্তরাল প্লেট ধারকত্ব C এর সূত্র কী?,εA/d,εd/A,ε/A,εd,C
2951,একটি গোলকের ক্ষেত্রফল 4πr² হলে এর ব্যাসার্ধ দ্বিগুণ করলে ক্ষেত্রফল কত হবে?,2 গুণ,4 গুণ,8 গুণ,16 গুণ,B
2952,0.002 kg ভরকে 10⁴ C তড়িৎ দ্বারা আঘাত করলে তড়িৎ বল কত হবে?,196 N/C,196 NC⁻¹,19.6 NC⁻¹,1.96 NC⁻¹,A
2953,একটি ইলেকট্রন তড়িৎ ক্ষেত্রে ত্বরান্বিত হলে তার ত্বরণ কত?,4×10¹³,4.22×10¹³,5×10¹³,14×10¹³,B
2954,0.044 dyne/cm² চাপের সমতুল্য কোন একক?,0.044 N/m²,0.44 N/m²,4.4 N/m²,44 N/m²,A
2955,একটি ধনাত্মক চার্জকে অসীম থেকে 10 cm দূরে আনতে কাজ কত হবে?,10 erg,100 erg,1000 erg,10000 erg,B
2956,একটি গোলকের ব্যাসার্ধ r হলে এর পৃষ্ঠতল ক্ষেত্রফল কত?,4πr,4πr²,2πr²,πr²,B
