id,question,A,B,C,D,topic,question_type
2649,Which formula is applied to determine the specific heat capacity of a metal?,Q=mcΔT,E=mc^2,F=ma,V=IR,Thermodynamics,Theoretical
2650,The time period of a simple pendulum depends on which of the following?,Mass,Length,Velocity,Acceleration,Oscillations,Theoretical
2651,The unit of magnetic induction is-,Tesla,Weber,Henry,Ohm,Magnetism,Definition
2652,If a car travels at a speed of 72 km/h; what will be its equivalent in m/s?,15 m/s,20 m/s,25 m/s,30 m/s,Units and Dimensions,Mathematical
2653,If a car moves with an acceleration of 5 m/s^2 for 10 seconds; what will be its velocity?,10 m/s,20 m/s,30 m/s,50 m/s,Kinematics,Mathematical
2654,If a 60 W bulb is connected to a 220 V line; what will be the electric current flowing through it?,0.27 A,0.5 A,1:00 AM,2:00 AM,Current Electricity,Mathematical
2655,If the mass of an object is 2 kg and its height is 5 m; what will be its potential energy?,10 J,20 J,50 J,100 J,Work and Energy,Mathematical
2656,What is the property called when an object is deformed by applying a force on it?,Elasticity,Plasticity,Work,Kinetic energy,Properties of Matter,Definition
2657,What causes heat to be generated when electric current flows through a conductor?,Magnetic effect,Electric potential,Collision,None of these,Current Electricity,Reasoning
2658,What is the value of 1 eV in joules?,1.6 × 10^-19 J,3.2 × 10^-19 J,4.8 × 10^-19 J,6.4 × 10^-19 J,Modern Physics,Definition
2659,Electrons are emitted when light falls on a metal plate. What is this called?,Photoelectric effect,Light radiation,Light absorption,Light reflection,Modern Physics,Definition
2660,The lens used in the eye is-,Concave lens,Convex lens,Plane lens,None of these,Ray Optics,Theoretical
2661,Which physical quantity remains constant in an adiabatic process?,Temperature,Pressure,Entropy,Internal energy,Thermodynamics,Theoretical
2662,If 373kg of water at 100°C is converted to steam at 100°C; what will be the change in entropy (latent heat of vaporization of water = 2.26×10^6 J/kg)?,2.26×10^6 J/K,842.98×10^6 J/K,165.04×10^6 J/K,847.01×10^6 J/K,Thermodynamics,Mathematical
2663,Which is true for the change in entropy in a reversible process?,ΔS > 0,ΔS < 0,ΔS = 0,ΔS ≥ 0,Thermodynamics,Theoretical
2664,If 273kg of ice at 0°C is converted to water at 0°C; what will be the change in entropy? (latent heat of fusion of ice = 3.36×10^5 J/kg),917.28×10^5 J/K,3.36×10^5 J/K,273×10^5 J/K,0 J/K,Thermodynamics,Mathematical
2665,Which of the following is an example of decreasing entropy?,Drying wood,Converting ice to water,Due to thermal energy from mechanical energy,Converting water to ice,Thermodynamics,Application
2666,In a heat engine; if the input heat is Q1 and the exhausted heat is Q2; what is the efficiency of the engine?,Q1/Q2,1 - Q2/Q1,1,1 + Q2/Q1,Thermodynamics,Theoretical
2667,In an adiabatic process; entropy-,Increases,Decreases,Does not change,None of these,Thermodynamics,Theoretical
2668,Which statement is true for entropy in an irreversible process?,Entropy does not change,Entropy increases,Entropy decreases,None of these,Thermodynamics,Theoretical
2669,Superconductors are more conductive than normal conductors; if the temperature of a superconductor is zero; which of the following is true?,Ss = Sn,Bs > Sn,Cs < Sn,Ds ≥ Sn,Properties of Matter,Theoretical
2670,The unit of Entropy is-,meter/kilogram,KT⁻¹,JK⁻¹,mole K⁻¹,Thermodynamics,Definition
2671,At what temperature do the Kelvin and Fahrenheit scales show the same reading?,574.25°F,273.16 K,374.25°F,375 K,Thermodynamics,Mathematical
2672,At what temperature do the Celsius and Fahrenheit scales show the same reading?,-40°,-30°,40°,4°,Thermodynamics,Mathematical
2673,Example of an object with a thermometric property-,Mercury in a conical tube,Granite wire,Conductivity wire of a thermocouple,All of these,Thermodynamics,Application
2674,If the temperature changes by 5° on the Celsius scale; the change on the Fahrenheit scale will be ----.,41°,5°,37°,9°,Thermodynamics,Mathematical
2675,To get the maximum efficiency of a Carnot engine; what should be the temperature of the sink?,0 K,273.16 K,0°C,100°C,Thermodynamics,Reasoning
2676,An engine operates between 327°C and 27°C. What is its efficiency?,92%,0%,100%,50%,Thermodynamics,Mathematical
2677,A Carnot engine with 80% efficiency operates between 127°C and 27°C. What is the temperature of the source?,2000K,2100K,2200K,2300K,Thermodynamics,Mathematical
2678,What will be the Coulombic attraction force between two neutrons and two protons if the distance between them is 4×10⁻¹⁵ m?,100 N,14.4 N,11.8 N,12 N,Electrostatics,Mathematical
2679,The sun of the inner center can be called—,From the sun of the center,From the sun of the apsis,From the sun of the galaxy,None of these,Miscellaneous,Miscellaneous
2680,If the distance between two equal charges is halved; what will be the new force?,Will be doubled,Will be quadrupled,Will remain unchanged,Will be four times,Electrostatics,Reasoning
2681,What will be the electric force between two 1 coulomb charges placed 1 meter apart?,1 N,10⁹ N,100 N,9×10⁹ N,Electrostatics,Mathematical
2682,The ratio of the Coulomb force Fe to the gravitational force Fg between two electrons on Earth will be—,4.2×10⁶²,4.2×10⁵²,4.2×10⁴²,4.2×10³²,Electrostatics,Mathematical
2683,What is the magnitude of the electric force field created by a one coulomb charge?,9×10⁹ N,11×10⁹ N,1.6×10⁹ N,None of these,Electrostatics,Theoretical
2684,A charge of 2×10⁻⁹ C is placed on a sphere of 1m radius; what will be the electric field and potential at a distance of 0.1m from the center?,180 NC⁻¹ and 18 V,1.8 NC⁻¹ and 1.8 V,0 NC⁻¹ and 18 V,None of these,Electrostatics,Reasoning
2685,How many lines of force are there in a tube of force?,e,2e,1/ε,ε/2,Electrostatics,Definition
2686,In what electric field will an electron experience a force equal to its weight?,5.57×10⁻³³ NC⁻¹,5.57×10⁻³¹ NC⁻¹,5.57×10⁻¹⁹ NC⁻¹,5.57×10⁻¹¹ NC⁻¹,Electrostatics,Mathematical
2687,If a particle of mass m and charge e is accelerated by a potential difference V; what will be its velocity?,√(2eV/m),2eV/m,√(eV/m),eV/m,Electrostatics,Mathematical
2688,If a charge of 10 C is placed on the surface of a sphere of radius 10 cm; what will be the electric potential on its surface?,9×10¹¹ V,0.9×10¹¹ V,9×10¹² V,0.9×10¹⁰ V,Electrostatics,Mathematical
2689,What is the potential difference between two points separated by 15.8 cm in an electric field of strength 1.34×10⁵ NC⁻¹?,2.12×10⁴ V,2.12×10⁻⁴ V,1.12×10⁴ V,1.12×10⁻⁴ V,Electrostatics,Mathematical
2690,The potential difference between two points is 220 kV. How much work will be done to move a 12 μC charge from one point to another?,1.09 J,1.99 J,2.64 J,4.89 J,Electrostatics,Mathematical
2691,How much work is done to move a 12 C charge from one place to another if the potential difference is 500 V?,6×10¹⁰ erg,6×10⁸ erg,6×10⁵ erg,6×10⁶ erg,Electrostatics,Mathematical
2692,If the area of parallel plates is 1.4 m² and the thickness of the air gap is 0.03 m; what will be the capacitance?,4.13×10⁻¹⁰ μF,4.31×10⁻¹⁰ μF,5.13×10⁻¹⁰ μF,5.31×10⁻¹⁰ μF,Electrostatics,Mathematical
2693,If a smoke line is a frequency; what does it act as?,Conductor,Dielectric,Conductor,Resistor,Miscellaneous,Miscellaneous
2694,The total capacitance of three capacitors in parallel is 4 μF. If two of the capacitors are 2 μF and 3 μF respectively; what is the value of the third?,3 μF,4 μF,5 μF,6 μF,Electrostatics,Mathematical
2695,If two capacitors of 5 μF and 20 μF are connected in parallel with a third capacitor and the total capacitance is 16 μF; what is the value of the third?,3 μF,12 μF,41 μF,20 μF,Electrostatics,Mathematical
2696,An engine operates between 327°C and 27°C. What is its efficiency?,92%,0%,100%,50%,Thermodynamics,Mathematical
2697,A Carnot engine with 80% efficiency operates between 127°C and 27°C. What is the temperature of the source?,2000K,2100K,2200K,2300K,Thermodynamics,Mathematical
2698,What will be the Coulombic attraction force between two neutrons and two protons if the distance between them is 4×10⁻¹⁵ m?,100 N,14.4 N,11.8 N,12 N,Electrostatics,Mathematical
2699,The sun of the inner center can be called—,From the sun of the center,From the sun of the apsis,From the sun of the galaxy,None of these,Miscellaneous,Miscellaneous
2700,If the distance between two equal charges is halved; what will be the new force?,Will be doubled,Will be quadrupled,Will remain unchanged,Will be four times,Electrostatics,Reasoning
2701,What will be the electric force between two 1 coulomb charges placed 1 metre apart?,1 N,10⁹ N,100 N,9×10⁹ N,Electrostatics,Mathematical
2702,The ratio of the Coulomb force Fe and the gravitational force Fg between two electrons on Earth will be—,4.2×10⁶²,4.2×10⁵²,4.2×10⁴²,4.2×10³²,Electrostatics,Comparison
2703,What is the magnitude of the electric force field created by a one-coulomb charge?,9×10⁹ N,11×10⁹ N,1.6×10⁹ N,None of these,Electrostatics,Mathematical
2704,A 2×10⁻⁹ C charge is placed outside a sphere of radius 1m. What will be the electric field and potential at a distance of 0.1m from the center of the sphere?,180 NC⁻¹ and 18 V,1.8 NC⁻¹ and 1.8 V,0 NC⁻¹ and 18 V,None of these,Electrostatics,Reasoning
2705,How many lines of force are there in a tube of force?,e,2e,1/ε,ε/2,Electrostatics,Definition
2706,In which electric field will an electron experience a force equal to its weight?,5.57×10⁻³³ NC⁻¹,5.57×10⁻³¹ NC⁻¹,5.57×10⁻¹⁹ NC⁻¹,5.57×10⁻¹¹ NC⁻¹,Electrostatics,Mathematical
2707,What will be the velocity of a particle with mass m and charge e when accelerated by a potential difference V?,√(2eV/m),2eV/m,√(eV/m),eV/m,Electrostatics,Mathematical
2708,If a 10 C charge is placed on the surface of a sphere with a 10 cm radius; what will be the electric potential on its surface?,9×10¹¹ V,0.9×10¹¹ V,9×10¹² V,0.9×10¹⁰ V,Electrostatics,Mathematical
2709,What is the potential difference between two points when crossing a distance of 15.8 cm in an electric field of intensity 1.34×10⁵ NC⁻¹?,2.12×10⁴ V,2.12×10⁻⁴ V,1.12×10⁴ V,1.12×10⁻⁴ V,Electrostatics,Mathematical
2710,The potential difference between two points is 220 kV. What will be the amount of work done to move a 12 μC charge from one point to another?,1.09 J,1.99 J,2.64 J,4.89 J,Electrostatics,Mathematical
2711,How much work is done to move a 12 C charge from one place to another if the potential difference is 500 V?,6×10¹⁰ erg,6×10⁸ erg,6×10⁵ erg,6×10⁶ erg,Electrostatics,Mathematical
2712,If the area of the parallel plates is 1.4 m² and the thickness of the air between them is 0.03 m; what will be the capacitance?,4.13×10⁻¹⁰ μF,4.31×10⁻¹⁰ μF,5.13×10⁻¹⁰ μF,5.31×10⁻¹⁰ μF,Electrostatics,Mathematical
2713,What does a smoke trail act as at a given frequency?,Conductor,Dielectric,Conductor,Resistor,Miscellaneous,Miscellaneous
2714,The total capacitance of three capacitors in a parallel connection is 4 μF. If the values of two capacitors are 2 μF and 3 μF respectively; what is the value of the third one?,3 μF,4 μF,5 μF,6 μF,Electrostatics,Mathematical
2715,If a 5 μF and a 20 μF capacitor are connected in parallel with a third capacitor; the total capacitance becomes 16 μF. What is the value of the third capacitor?,3 μF,12 μF,41 μF,20 μF,Electrostatics,Mathematical
2716,Which is true for a capacitor?,W = 1/2C, W = 1/2 C I², W = 1/2 VC², W = 1/2 CV²,Electrostatics,Theoretical
2717,What is the nature of the electric force applied to the wire of a permanent magnet's energy capacitor?,Parallel,Diametrical,Quadratic,None of these,Miscellaneous,Miscellaneous
2718,If one capacitor has half the capacitance of another; what is the ratio of their parallel to series equivalent capacitance?,2 times,4.5 times,2.5 times,3.5 times,Electrostatics,Mathematical
2719,Three capacitors of equal capacitance are first connected in series and then in parallel. What is the ratio of the series equivalent capacitance to the parallel equivalent capacitance?,1:04,1:06,1:09,1:12,Electrostatics,Mathematical
2720,If a 4 μF and a 5 μF capacitor are connected in parallel and a 3 μF capacitor is connected in series with them; what will be the equivalent capacitance?,5 μF,4 μF,1 μF,10 μF,Electrostatics,Mathematical
2721,The distance between two parallel plates is d and the potential difference is V. If a point charge Q is placed exactly in the middle of the plates; what will be the force acting on the charge?,VQ/2d,VQ/d,VQ/2d²,dQ/V,Electrostatics,Mathematical
2722,If the area of a parallel plate capacitor is increased 3 times and the distance between the plates is decreased 6 times; how many times will the capacitance increase?,18 times,will decrease 18 times,will increase 2 times,will decrease 2 times,Electrostatics,Reasoning
2723,When 10 μC of charge is stored in a capacitor; its potential is 2V. What is the capacitance of the capacitor?,5 F,1/2 F,20 F,1/20 F,Electrostatics,Mathematical
2724,The resistance of a certain conductor increases as its temperature increases; and it is 20Ω at 0°C. If a current of 1 amp is passed through it-,the temperature of the resistor will decrease,the value of the resistance will increase,the current of the resistor will decrease,None of these will happen,Current Electricity,Mathematical
2725,In a certain metal thermometer; the resistance is 42Ω at 0°C and 202Ω at 100°C. If the resistance of the thermometer is 32Ω; what is the temperature?,150°C,200°C,250°C,300°C,Current Electricity,Mathematical
2726,The resistance of a conductor is 6Ω. If its length is doubled; what will be the new resistance?,18,32,36,54,Current Electricity,Reasoning
2727,On which of the following factors does resistance not depend?,Material,Length,Electric current,Cross-sectional area,Current Electricity,Theoretical
2728,Electric current is the flow of what?,Electrons,Neutrons,Protons,None of these,Current Electricity,Definition
2729,If the length of three wires of a 5Ω resistor is doubled; what will be their resistance?,25Ω,15Ω,50Ω,45Ω,Current Electricity,Reasoning
2730,In which of the following cases does the resistance of a conductor remain unchanged?,If the length and cross-sectional area are changed,If the length and cross-sectional area are changed in the same ratio,If the cross-sectional area is increased,If the cross-sectional area is decreased,Current Electricity,Theoretical
2731,A 5V battery is connected in series with a 5Ω resistor and a 5μF capacitor. After 15 minutes; what will be the potential difference across the resistor?,5V,2.5V,10V,0V,Current Electricity,Reasoning
2732,If the length of one wire is 5m and the length of another wire is 0.5m; what is the ratio of their resistances?,5,10,3.16,100,Current Electricity,Mathematical
2733,A wire has a length of 2m and a diameter of 5mm. If the resistance of the wire is doubled and its diameter is halved; what will happen to its specific resistance?,Specific resistance will decrease,Specific resistance will remain the same,Specific resistance will be doubled,Specific resistance will be quadrupled,Current Electricity,Reasoning
2734,If a current of 0.5A flows through a 200Ω resistor; what will be the potential difference across it?,200,100,50,25,Current Electricity,Mathematical
2735,What happens to the specific resistance of a conductor when the temperature increases?,Increases,Stays the same,Decreases,First decreases then increases,Current Electricity,Theoretical
2736,The resistances of two wires of the same material are compared. If their lengths are the same; the ratio of their resistances will be-,the ratio of their diameters,the ratio of the squares of their diameters,the ratio of the cubes of their diameters,the ratio of their cross-sections,Current Electricity,Theoretical
2737,If the length of a wire is doubled and its radius is halved; how many times will its resistance increase?,2,4,8,R/2,Current Electricity,Reasoning
2738,Consider two conductors A and B. If their specific resistances are equal; what does it imply?,The lengths of A and B are equal,The cross-sectional areas of A and B are equal,The temperatures of A and B are equal,The thermal conductivities of A and B are equal,Current Electricity,Theoretical
2739,If the ratio of the lengths of two wires is 1:4; what will be the ratio of their diameters?,4:01,2:01,1:02,1:01,Current Electricity,Mathematical
2740,An 88 watt fan is connected to a 220V line in a house. What is the value of the current flowing through the fan in amperes?,0.3,0.4,0.5,0.6,Current Electricity,Mathematical
2741,If a 40W bulb and a 60W bulb are connected in parallel; which bulb will be brighter?,40W bulb,60W bulb,Both will be equally bright,None of these,Current Electricity,Reasoning
2742,An electric device runs on a 220V line drawing 0.2A of current. If the device is used for 600 hours; how much energy will be consumed?,16.4 kWh,36.8 kWh,26.4 kWh,16 kWh,Current Electricity,Mathematical
2743,By which process is heat generated when an electric current flows for a specific time?,Evaporation,Air absorption,Equilibrium,Electrical equilibrium,Current Electricity,Theoretical
2744,An electric heater with 100 ohm resistance is immersed in 200 grams of water at 25°C. A current of 5 amp is passed through it. After how much time will the water start to boil at 100°C?,5 hours,6 hours,7 hours,8 hours,Current Electricity,Mathematical
2745,One kilowatt-hour (kWh) is equal to how many joules?,550 J,746 J,3.6×10⁶ J,9.8 J,Work and Energy,Definition
2746,How much current flows through a 220V – 44W bulb?,0.002 A,2:00 AM,0.2 A,5:00 AM,Current Electricity,Mathematical
2747,Which is the mathematical formula for the heat generated by the flow of current through a conductor?,H = I²Rt,H = R²Vt,H = IRt,H = V²Rt,Current Electricity,Theoretical
2748,If a current of 5A flows through a resistor for 3 hours; what will be the total amount of charge that has flowed?,3.6×10² C,5.4×10⁴ C,1.4×10³ C,3.6×10⁶ C,Current Electricity,Mathematical
2749,A current of 0.3A from a 6V source flows through a bulb for 2 minutes. What is the energy consumed by the bulb?,12J,18J,216J,220J,Current Electricity,Mathematical
2750,In a house; 10 bulbs of 60 watts each are used for 5 hours daily. If the cost of electricity per unit is 5 Taka; what will be the monthly bill?,600 Taka,1200 Taka,300 Taka,1000 Taka,Current Electricity,Mathematical
2751,What is the ratio of electricity consumption between a 200 watt lamp and a 1000 watt iron used for 20 minutes?,3:05,1:05,6:05,12:05,Current Electricity,Mathematical
2752,An electric bulb is rated 100 watt and 220V; what will be the amount of current flowing through the bulb if it is used at the rated voltage?,5/11 A,11/20 A,11/25 A,25/11 A,Current Electricity,Mathematical
2753,What is the value of a resistor to be used with a 5A current flow?,1000Ω,20Ω,500Ω,5000Ω,Current Electricity,Mathematical
2754,An electric bulb rated 100W and 220V is used for 10 hours daily; if 1 kWh costs 3 Taka what will be the monthly electricity bill?,220 Tk,155 Tk,105 Tk,93 Tk,Current Electricity,Mathematical
2755,Which is the unit of energy and the unit of power?,Joul/sec,(Amp)(Volt),(Amp²)(Ω),Ω²/Volt,Units and Dimensions,Definition
2756,A 100Ω galvanometer can safely take a current of 10 mA; what resistance shunt in ohms will be needed to measure a 10A current?,0.01,0.1,1,10,Current Electricity,Mathematical
2757,A 100Ω galvanometer can safely take a current of 10mA; what resistance shunt will be needed to measure a 10A current?,0.4Ω,0.3Ω,0.2Ω,0.1Ω,Current Electricity,Mathematical
2758,A 100Ω galvanometer is connected with a 5Ω shunt and then connected to a circuit; a current of 0.42A is found through the galvanometer; what is the total current?,8.82 A,2.88 A,88.2 A,28.8 A,Current Electricity,Mathematical
2759,Two resistors of 400Ω and 800Ω are connected in series with a 6.0 volt battery; if the galvanometer used in this state has a 10Ω shunt what will the ammeter reading be?,4.96 mA,5.96 mA,2.60 mA,1.92 mA,Current Electricity,Mathematical
2760,What is a shunt?,A resistor of electric value,Neutron,A resistor connected in parallel,A resistor connected to a galvanometer,Current Electricity,Definition
2761,To use a 1000Ω galvanometer that can measure up to 15V for measuring up to a maximum of 45V; what resistance must be added?,2000Ω,3000Ω,1000Ω,500Ω,Current Electricity,Mathematical
2762,By which of the following equations can the magnetic field strength near a current-carrying infinitely long straight wire be determined?,B = μ₀I/2πa,B = μ₀/2πa,B = μ₀I/2π,B = μ₀I/2a,Magnetism,Theoretical
2763,Which equation represents the Biot-Savart law?,dB = μ₀ Idl×r/4πr³,dB = μ₀ Idlsinθ/4πr²,dB = μ₀ Idl/4πr²,dB = μ₀ Idl/2πr²,Magnetism,Theoretical
2764,What is the magnetic field strength created by an electron moving at a speed of 6×10¹¹ m/s?,2.01×10⁻²⁵ T,13.67 T,8.54×10¹⁹ T,12.56 T,Magnetism,Mathematical
2765,If a 40-turn coil made from 32 cm of wire produces an average magnetic field of 10μT; what is the current?,0.064 A,6.4 A,4.6 A,46 A,Magnetism,Mathematical
2766,By which of the following equations can the magnetic field strength near a current-carrying infinitely long straight wire be determined?,B = μ₀I/2πa,B = μ₀/2πa,B = μ₀I/2π,B = μ₀I/2a,Magnetism,Theoretical
2767,Which equation represents the Biot-Savart law?,dB = μ₀ Idl×r/4πr³,dB = μ₀ Idlsinθ/4πr²,dB = μ₀ Idl/4πr²,dB = μ₀ Idl/2πr²,Magnetism,Theoretical
2768,What is the magnetic field strength created by an electron moving at a speed of 6×10¹¹ m/s?,2.01×10⁻²⁵ T,13.67 T,8.54×10¹⁹ T,12.56 T,Magnetism,Mathematical
2769,If a 40-turn coil made from 32 cm of wire produces an average magnetic field of 10μT; what is the current?,0.064 A,6.4 A,4.6 A,46 A,Magnetism,Mathematical
2770,What will the magnetic force be on an electron and a proton moving at the same velocity if a magnetic field is applied at a 90° angle to them?,Equal and in the same direction,Equal and in opposite directions,Equal and perpendicular to each other,Different and in opposite directions,Magnetism,Reasoning
2771,When will the force on a charge moving with velocity v in a magnetic field B be zero?,If the angle between v and B is 90°,If the angle between v and B is 0° or 180°,If the angle between v and B is any value other than 180°,It will never be zero,Magnetism,Theoretical
2772,What will be the force on a 10 cm long wire carrying a 2A current if it is placed perpendicularly in a 0.2T magnetic field?,4N,0.04N,25N,40N,Magnetism,Mathematical
2773,What is the path of a charge moving perpendicular to a magnetic field?,Straight line,Elliptical,Circular,Helical,Magnetism,Theoretical
2774,In the case of hydrogen gas molecules; if the speed of sound is observed then what will be the ratio of the molecule's average speed to its root-mean-square speed?,58.20 K,68.25 K,20.25 K,100.20 K,Kinetic Theory,Theoretical
2775,The average speed of a gas molecule is 2 ms⁻¹ per second; what is the root-mean-square speed?,n/2,n/√2,2n,√n,Kinetic Theory,Mathematical
2776,If the temperature of a gas molecule is lowered from 480K to 120K; how will the average speed change?,4v,2v,v/2,v/4,Kinetic Theory,Mathematical
2777,The mass of a hydrogen molecule is 0.09×10⁻²⁶ kg; what is its rms speed?,1939.38 m/s,1938.39 m/s,861 m/s,961 m/s,Kinetic Theory,Mathematical
2778,What is the rms speed of an oxygen molecule at 0°C temperature?,461 m/s,468 m/s,861 m/s,961 m/s,Kinetic Theory,Mathematical
2779,At what temperature will the average speed of a gas molecule be double its root-mean-square speed?,546 K,1092 K,273 K,2184 K,Kinetic Theory,Reasoning
2780,If the temperature of a gas is doubled; by what factor will the rms speed increase?,4,2,1.41,0.5,Kinetic Theory,Mathematical
2781,If the equation of a non-mechanical wave is y = 0.1 sin(100πt - 20π/17 x); what is its frequency?,50 Hz,100 Hz,50π Hz,100π Hz,Waves,Mathematical
2782,If the equation of a moving wave is y = 0.2 sin 4π(240t - x); what will be its wavelength?,0.5,1,2,0,Waves,Mathematical
2783,Which is the correct equation for a non-mechanical wave traveling along the x-axis?,y = y₀ sin(kx - ωt),y = y₀ sin(2π/T t),y = y₀ sin(kx + ωt),y = y₀ sin(2π/λ vt),Waves,Theoretical
2784,What is the dimension of frequency?,T⁻¹,LT⁻¹,L⁻¹T⁻²,LT⁻³,Units and Dimensions,Definition
2785,If a wave is defined by the equation y = 15 sin(10x - 20t); what will be the wave velocity?,0.75,0.5,2,None of these,Waves,Mathematical
2786,What is the wavelength of the wave y = 1.15 sin(2000t + 0.01x)?,628 m,630 m,632 m,314 m,Waves,Mathematical
2787,If the intensity of sound emitted from a mobile phone is 1×10⁻⁵ Wm⁻²; what will be the sound intensity level?,−3 dB,3 dB,−70 dB,70 dB,Waves,Mathematical
2788,What is the result of the superposition of waves?,Wavelength,Wavefront,Frequency,Velocity,Waves,Theoretical
2789,What is the minimum limit of sound intensity from a source?,−10 dB,−12 dB,0 dB,−15 dB,Waves,Definition
2790,If the sound power emitted from a mobile phone changes from 30 mW to 60 mW; what will be the change in the sound intensity level?,−3 dB,3 dB,−30 dB,30 dB,Waves,Mathematical
2791,What is the relationship between the amplitude (a) and intensity (I) of a wave?,I ∝ a²,I ∝ 1/a²,I ∝ 1/a²,I ∝ a,Waves,Theoretical
2792,Which is the equation for a progressive wave?,E = 2π²a²f²p,E = 2π²a²f²p²,E = 2π²a²fp,E = 2π²a²p²,Waves,Theoretical
2793,If the sound power emitted from a source changes from 10 mW to 1000 mW; how much will the sound intensity level change?,20 dB,30 dB,100 dB,None of these,Waves,Mathematical
2794,The frequencies of two tuning forks are 220Hz and 210Hz respectively; if the two are sounded together what will be the number of beats?,220,210,430,10,Waves,Mathematical
2795,If three frequencies form a Triad; what is the ratio of their frequencies?,5:06:07,6:07:08,7:08:09,8:09:10,Waves,Definition
2796,If two waves with amplitudes 'a' and 'a/2' interfere with a 180° phase difference; what is the resultant amplitude?,2a,0.5a,0,None of these,Waves,Mathematical
2797,If the tension in a stretched string is increased 4 times; by what factor will the fundamental frequency increase?,16,4,3,2,Waves,Mathematical
2798,What is the ratio of an octave?,8:09,10:09,6:05,16:15,Waves,Definition
2799,What is the maximum wavelength of a wave produced in a 1.5 m stretched string?,1.5 m,3 m,1 m,0.75 m,Waves,Mathematical
2800,If the length of a stretched string is doubled; by what ratio will the frequency change?,In a ratio of 1 to 2,In a ratio of 2 to 2,In a ratio of √2 to 2,None of these,Waves,Reasoning
2801,What is the fundamental frequency of a 2 m long wire if the wave velocity is 300 ms⁻¹?,300 Hz,150 Hz,600 Hz,350 Hz,Waves,Mathematical
2802,The frequencies of two tuning forks are 128 Hz and 384 Hz respectively. What is the ratio of their wavelengths?,3:01,1:03,2:01,1:02,Waves,Mathematical
2803,Sound waves are spreading from a point source. How does the intensity of sound at a point change with the distance from the source?,Proportional,Proportional to the square,Inversely proportional,Inversely proportional to the square,Waves,Theoretical
2804,When a boat creates waves in a reservoir the wavelength is 16m and a wave arrives every 2 seconds. What is the velocity of the wave?,8 ms⁻¹,16 ms⁻¹,32 ms⁻¹,64 ms⁻¹,Waves,Mathematical
2805,The equation for the period of a simple pendulum is-,g = 4π²L/T²,g = 4πL/T²,g = 4π²L/T,g = 4πL/T²,Oscillations,Theoretical
2806,If the length of a simple pendulum is increased by 50%; by what factor will its effective length increase?,1.25,1.5,2,2.5,Oscillations,Mathematical
2807,If the amplitude of a simple pendulum is made zero; what will be its period of oscillation?,Will be zero,Will remain unchanged,Will be halved,Will be quadrupled,Oscillations,Reasoning
2808,A simple pendulum oscillates 60 times in 2 minutes. What is the value of the period (m)?,0.993,0.963,0.925,0.989,Oscillations,Mathematical
2809,If the mass of the bob of a simple pendulum of fixed length is increased 3 times; what will be the period?,Will decrease by 3 times,Will increase by 3 times,Will increase by 9 times,Will remain unchanged,Oscillations,Reasoning
2810,Which is correct regarding the mathematical values of motion in simple harmonic oscillation?,Velocity is maximum,Displacement is maximum,Velocity is minimum,Displacement is minimum,Oscillations,Theoretical
2811,What is the relationship between frequency (f) and period (T)?,f = 1/T,f = T,T = 2f,f = 2T,Oscillations,Definition
2812,What is the length of a simple pendulum?,L = g/π²,L = g²/π²,L = π²/g,L = π²g,Oscillations,Definition
2813,What will be the frequency of a seconds pendulum in space?,1 Hz,0 Hz,2 Hz,Infinite,Oscillations,Reasoning
2814,What will be the effective length of a seconds pendulum on Earth?,0.248 m,9.81 m,0.252 m,0.994 m,Oscillations,Mathematical
2815,What is the excess pressure inside a spherical soap bubble with a diameter of 30 cm?,6.67 Nm⁻²,6.67 Nm⁻¹,6.80 Nm²,6.9 Nm⁻²,Properties of Matter,Mathematical
2816,The surface tension of soap water is 3×10⁻² Nm⁻¹. If the pressure difference between the outside and inside of a soap bubble is 4 Nm⁻²; what will be the diameter of the bubble?,3×10⁻² m,2×10⁻² m,6×10⁻² m,None of these,Properties of Matter,Mathematical
2817,A soap bubble has a diameter of 0.7 cm and the internal air pressure is 8 mm of mercury higher than the normal atmospheric pressure. What is the surface tension of the soap solution?,56.68 dyne/cm,66.68 dyne/cm,68.66 dyne/cm,78.66 dyne/cm,Properties of Matter,Mathematical
2818,A thin raindrop gains velocity on Earth due to-,Air buoyancy,The viscosity of air,The surface tension of air,Atmospheric pressure,Gravitation,Reasoning
2819,Which substance has the highest viscosity?,Milk,Water,Oil,Honey,Properties of Matter,Theoretical
2820,Which one has the highest viscosity?,Water,Kerosene,Air,Glycerin,Properties of Matter,Theoretical
2821,Which is the hardest substance?,Iron,Copper,Keratin,Quartz,Properties of Matter,Theoretical
2822,The Young's modulus of a rod is 4×10¹¹ N/m². If the length is increased by 7.5%; what will be the applied stress?,7.5×10¹¹ N/m²,3×10¹⁰ N/m²,5.33×10¹⁰ N/m²,4×10¹⁰ N/m²,Properties of Matter,Mathematical
2823,How much force must be applied to a rod with a cross-sectional area of 1 mm² to cause a 10% elongation?,2×10⁴ N,6×10⁴ N,8×10⁴ N,12×10⁴ N,Properties of Matter,Mathematical
2824,What will be the applied stress in a 1 m long rod with a modulus of 10⁸ Nm⁻² if there is a 3% elongation?,10⁵ Nm⁻²,10¹¹ Nm⁻²,10⁵ Nm²,10¹¹ Nm²,Properties of Matter,Mathematical
